State,Year,Subject,Score
New York,2018,Math,534
North Carolina,2018,Math,543
North Dakota,2018,Math,643
Ohio,2018,Math,547
Oklahoma,2018,Math,521
Oregon,2018,Math,553
Pennsylvania,2018,Math,539
Rhode Island,2018,Math,505
South Carolina,2018,Math,523
South Dakota,2018,Math,618
Tennessee,2018,Math,607
Texas,2018,Math,512
Utah,2018,Math,612
Vermont,2018,Math,554
Virginia,2018,Math,550
Washington,2018,Math,538
West Virginia,2018,Math,486
Wisconsin,2018,Math,653
Wyoming,2018,Math,625
Alabama,2019,Total,1143
Alaska,2019,Total,1097
Arizona,2019,Total,1134
Arkansas,2019,Total,1141
California,2019,Total,1065
Colorado,2019,Total,1024
Connecticut,2019,Total,1046
Delaware,2019,Total,985
District of Columbia,2019,Total,975
Florida,2019,Total,999
Georgia,2019,Total,1058
Hawaii,2019,Total,1100
Idaho,2019,Total,993
Illinois,2019,Total,1013
Indiana,2019,Total,1080
Iowa,2019,Total,1244
Kansas,2019,Total,1241
Kentucky,2019,Total,1232
Louisiana,2019,Total,1200
Maine,2019,Total,1013
Maryland,2019,Total,1058
Massachusetts,2019,Total,1120
Michigan,2019,Total,1003
Minnesota,2019,Total,1284
Mississippi,2019,Total,1237
Missouri,2019,Total,1236
Montana,2019,Total,1199
Nebraska,2019,Total,1260
Nevada,2019,Total,1156
New Hampshire,2019,Total,1059
New Jersey,2019,Total,1090
New Mexico,2019,Total,1073
New York,2019,Total,1064
North Carolina,2019,Total,1100
North Dakota,2019,Total,1263
Ohio,2019,Total,1097
Oklahoma,2019,Total,963
Oregon,2019,Total,1112
Pennsylvania,2019,Total,1082
Rhode Island,2019,Total,995
South Carolina,2019,Total,1030
South Dakota,2019,Total,1268
Tennessee,2019,Total,1220
Texas,2019,Total,1022
Utah,2019,Total,1230
Vermont,2019,Total,1106
Virginia,2019,Total,1119
Washington,2019,Total,1074
West Virginia,2019,Total,943
Wisconsin,2019,Total,1283
Wyoming,2019,Total,1238
Alabama,2019,ERW,583
Alaska,2019,ERW,556
Arizona,2019,ERW,569
Arkansas,2019,ERW,582
California,2019,ERW,534
Colorado,2019,ERW,518
Connecticut,2019,ERW,529
Delaware,2019,ERW,499
District of Columbia,2019,ERW,495
Florida,2019,ERW,516
Georgia,2019,ERW,538
Hawaii,2019,ERW,550
Idaho,2019,ERW,505
Illinois,2019,ERW,509
Indiana,2019,ERW,543
Iowa,2019,ERW,622
Kansas,2019,ERW,618
Kentucky,2019,ERW,620
Louisiana,2019,ERW,610
Maine,2019,ERW,512
Maryland,2019,ERW,535
Massachusetts,2019,ERW,559
Michigan,2019,ERW,507
Minnesota,2019,ERW,636
Mississippi,2019,ERW,628
Missouri,2019,ERW,622
Montana,2019,ERW,603
Nebraska,2019,ERW,628
Nevada,2019,ERW,580
New Hampshire,2019,ERW,533
New Jersey,2019,ERW,544
New Mexico,2019,ERW,543
New York,2019,ERW,531
North Carolina,2019,ERW,554
North Dakota,2019,ERW,627
Ohio,2019,ERW,550
Oklahoma,2019,ERW,490
Oregon,2019,ERW,562
Pennsylvania,2019,ERW,545
Rhode Island,2019,ERW,503
South Carolina,2019,ERW,526
South Dakota,2019,ERW,633
Tennessee,2019,ERW,618
Texas,2019,ERW,515
Utah,2019,ERW,614
Vermont,2019,ERW,560
Virginia,2019,ERW,567
Washington,2019,ERW,539
West Virginia,2019,ERW,483
Wisconsin,2019,ERW,635
Wyoming,2019,ERW,623
Alabama,2019,Math,560
Alaska,2019,Math,541
Arizona,2019,Math,565
Arkansas,2019,Math,559
California,2019,Math,531
Colorado,2019,Math,506
Connecticut,2019,Math,516
Delaware,2019,Math,486
District of Columbia,2019,Math,480
Florida,2019,Math,483
Georgia,2019,Math,519
Hawaii,2019,Math,550
Idaho,2019,Math,488
Illinois,2019,Math,504
Indiana,2019,Math,537
Iowa,2019,Math,622
Kansas,2019,Math,623
Kentucky,2019,Math,612
Louisiana,2019,Math,591
Maine,2019,Math,502
Maryland,2019,Math,523
Massachusetts,2019,Math,561
Michigan,2019,Math,496
Minnesota,2019,Math,648
Mississippi,2019,Math,608
Missouri,2019,Math,614
Montana,2019,Math,596
Nebraska,2019,Math,631
Nevada,2019,Math,576
New Hampshire,2019,Math,526
New Jersey,2019,Math,545
New Mexico,2019,Math,530
New York,2019,Math,533
North Carolina,2019,Math,546
North Dakota,2019,Math,636
Ohio,2019,Math,548
Oklahoma,2019,Math,472
Oregon,2019,Math,550
Pennsylvania,2019,Math,537
Rhode Island,2019,Math,492
South Carolina,2019,Math,504
South Dakota,2019,Math,635
Tennessee,2019,Math,602
Texas,2019,Math,507
Utah,2019,Math,615
Vermont,2019,Math,546
Virginia,2019,Math,551
Washington,2019,Math,535
West Virginia,2019,Math,460
Wisconsin,2019,Math,648
Wyoming,2019,Math,615
