State,Year,Subject,Score
Texas,2013,Mathematics,21.5
Utah,2013,Mathematics,20.2
Vermont,2013,Mathematics,22.8
Virginia,2013,Mathematics,22.5
Washington,2013,Mathematics,22.8
West Virginia,2013,Mathematics,19.5
Wisconsin,2013,Mathematics,22.0
Wyoming,2013,Mathematics,19.7
Alabama,2013,Reading,21.0
Alaska,2013,Reading,21.7
Arizona,2013,Reading,19.6
Arkansas,2013,Reading,20.5
California,2013,Reading,22.3
Colorado,2013,Reading,20.5
Connecticut,2013,Reading,24.4
Delaware,2013,Reading,23.4
District of Columbia,2013,Reading,21.0
Florida,2013,Reading,20.4
Georgia,2013,Reading,21.2
Hawaii,2013,Reading,20.0
Idaho,2013,Reading,22.7
Illinois,2013,Reading,20.4
Indiana,2013,Reading,22.1
Iowa,2013,Reading,22.5
Kansas,2013,Reading,22.3
Kentucky,2013,Reading,19.9
Louisiana,2013,Reading,19.7
Maine,2013,Reading,23.8
Maryland,2013,Reading,22.7
Massachusetts,2013,Reading,24.4
Michigan,2013,Reading,20.0
Minnesota,2013,Reading,23.1
Mississippi,2013,Reading,19.1
Missouri,2013,Reading,21.9
Montana,2013,Reading,21.9
Nebraska,2013,Reading,21.8
Nevada,2013,Reading,21.7
New Hampshire,2013,Reading,24.2
New Jersey,2013,Reading,23.1
New Mexico,2013,Reading,20.4
New York,2013,Reading,23.7
North Carolina,2013,Reading,18.8
North Dakota,2013,Reading,20.5
Ohio,2013,Reading,22.2
Oklahoma,2013,Reading,21.4
Oregon,2013,Reading,21.9
Pennsylvania,2013,Reading,23.0
Rhode Island,2013,Reading,23.3
South Carolina,2013,Reading,20.8
South Dakota,2013,Reading,22.1
Tennessee,2013,Reading,19.8
Texas,2013,Reading,21.0
Utah,2013,Reading,21.3
Vermont,2013,Reading,23.4
Virginia,2013,Reading,23.1
Washington,2013,Reading,23.3
West Virginia,2013,Reading,21.3
Wisconsin,2013,Reading,22.3
Wyoming,2013,Reading,20.2
Alabama,2013,Science,20.2
Alaska,2013,Science,21.0
Arizona,2013,Science,19.4
Arkansas,2013,Science,20.1
California,2013,Science,21.5
Colorado,2013,Science,20.5
Connecticut,2013,Science,23.3
Delaware,2013,Science,22.4
District of Columbia,2013,Science,19.7
Florida,2013,Science,19.1
Georgia,2013,Science,20.5
